Folded pygeostat_saved_data                    
           5
X                                       
Y                                       
Z                                       
Cu                                      
Fold (out of   5)
35768.800000 28010.000000 1042.300000 0.558120   5
35768.800000 28010.000000 1052.300000 0.377180   4
35768.800000 28010.000000 1072.300000 0.381650   3
35768.800000 28010.000000 1082.300000 0.385050   5
35768.800000 28010.000000 1092.300000 0.299690   1
33990.100000 28015.900000 785.137500 0.055800   3
33990.100000 28015.900000 795.137500 0.077310   4
33990.100000 28015.900000 805.137500 0.034750   5
33990.100000 28015.900000 815.137500 0.070030   1
33990.100000 28015.900000 835.137500 0.089390   1
33990.100000 28015.900000 845.137500 0.127790   3
33990.100000 28015.900000 855.137500 0.102710   5
33990.100000 28015.900000 865.137500 0.067600   4
33990.100000 28015.900000 875.137500 0.141890   3
33990.100000 28015.900000 895.137500 0.087700   1
35281.000000 28016.000000 882.912500 0.074070   4
35281.000000 28016.000000 892.912500 0.105620   3
35281.000000 28016.000000 902.912500 0.141640   1
35281.000000 28016.000000 922.912500 0.050000   5
35388.800000 28039.900000 845.687500 0.040570   3
35388.800000 28039.900000 865.687500 0.075170   1
35388.800000 28039.900000 875.687500 0.184900   5
35388.800000 28039.900000 885.687500 0.252740   3
35388.800000 28039.900000 895.687500 0.003010   4
35388.800000 28039.900000 905.687500 0.189020   5
35388.800000 28039.900000 925.687500 0.765130   1
35388.800000 28039.900000 935.687500 0.655560   4
35388.800000 28039.900000 945.687500 1.959210   5
35388.800000 28039.900000 955.687500 2.009710   3
35388.800000 28039.900000 975.687500 1.333950   1
35516.500000 28005.600000 747.437500 0.315820   1
35516.500000 28005.600000 757.437500 0.489560   4
35516.500000 28005.600000 767.437500 0.579090   3
35516.500000 28005.600000 777.437500 0.266500   1
35516.500000 28005.600000 787.437500 0.514140   3
35516.500000 28005.600000 797.437500 0.519750   5
35516.500000 28005.600000 807.437500 0.597800   4
35516.500000 28005.600000 817.437500 0.681340   5
35516.500000 28005.600000 837.437500 0.693200   1
35516.500000 28005.600000 847.437500 0.730800   3
35516.500000 28005.600000 857.437500 0.924670   1
35516.500000 28005.600000 877.437500 0.503490   4
35516.500000 28005.600000 887.437500 1.003500   3
35516.500000 28005.600000 897.437500 1.406040   5
35516.500000 28005.600000 917.437500 1.085950   4
35516.500000 28005.600000 927.437500 0.721250   3
35516.500000 28005.600000 937.437500 0.740360   1
35516.500000 28005.600000 947.437500 0.558860   1
35516.500000 28005.600000 957.437500 0.773480   5
35516.500000 28005.600000 977.437500 0.518160   4
35516.500000 28005.600000 987.437500 0.426940   3
35516.500000 28005.600000 997.437500 0.258610   5
35637.800000 28023.800000 686.125000 0.391100   1
35637.800000 28023.800000 696.125000 0.343650   3
35637.800000 28023.800000 706.125000 0.307450   5
35637.800000 28023.800000 716.125000 0.624100   4
35637.800000 28023.800000 746.125000 0.445400   4
35637.800000 28023.800000 756.125000 0.587750   3
35637.800000 28023.800000 766.125000 0.318300   1
35637.800000 28023.800000 776.125000 0.355300   5
35637.800000 28023.800000 786.125000 0.641700   1
35637.800000 28023.800000 796.125000 0.305650   5
35637.800000 28023.800000 806.125000 0.319700   3
35637.800000 28023.800000 836.125000 0.121200   4
35637.800000 28023.800000 846.125000 0.083950   3
35637.800000 28023.800000 856.125000 0.093850   1
35637.800000 28023.800000 866.125000 0.257950   5
35637.800000 28023.800000 876.125000 0.306450   5
35637.800000 28023.800000 886.125000 0.519100   4
35637.800000 28023.800000 896.125000 0.508350   1
35637.800000 28023.800000 906.125000 0.540800   3
35637.800000 28023.800000 926.125000 0.326900   5
35637.800000 28023.800000 936.125000 0.225500   1
35637.800000 28023.800000 946.125000 0.095800   4
35637.800000 28023.800000 966.125000 0.759380   3
35637.800000 28023.800000 976.125000 0.706600   5
35637.800000 28023.800000 986.125000 0.548500   1
35637.800000 28023.800000 996.125000 0.861750   3
35637.800000 28023.800000 1006.125000 0.739350   4
35637.800000 28023.800000 1016.125000 0.582800   1
35637.800000 28023.800000 1026.125000 0.653700   5
35637.800000 28023.800000 1046.125000 0.698170   3
35133.600000 28138.400000 713.600000 0.489230   4
35133.600000 28138.400000 733.600000 0.574700   5
35133.600000 28138.400000 743.600000 0.614200   1
35133.600000 28138.400000 753.600000 0.619080   4
35133.600000 28138.400000 763.600000 0.382630   3
35133.600000 28138.400000 773.600000 0.625900   1
35133.600000 28138.400000 793.600000 0.685150   4
35133.600000 28138.400000 803.600000 0.561250   5
35133.600000 28138.400000 813.600000 0.512500   3
35133.600000 28138.400000 833.600000 0.442320   5
35133.600000 28138.400000 843.600000 0.542920   1
35133.600000 28138.400000 853.600000 0.476900   4
35133.600000 28138.400000 863.600000 0.433130   3
35133.600000 28138.400000 883.600000 0.524200   4
35133.600000 28138.400000 893.600000 0.722100   5
35133.600000 28138.400000 903.600000 0.622650   1
35133.600000 28138.400000 923.600000 0.613870   3
35133.600000 28138.400000 933.600000 0.464680   1
35133.600000 28138.400000 943.600000 0.679530   5
35133.600000 28138.400000 953.600000 0.567850   3
35133.600000 28138.400000 973.600000 0.646710   4
35270.100000 28159.300000 728.225000 0.354850   5
35270.100000 28159.300000 738.225000 0.230600   3
35270.100000 28159.300000 748.225000 0.196850   4
35270.100000 28159.300000 758.225000 0.308450   4
35270.100000 28159.300000 768.225000 0.445150   1
35270.100000 28159.300000 778.225000 0.391050   3
35270.100000 28159.300000 788.225000 0.386400   5
35270.100000 28159.300000 808.225000 0.548250   3
35270.100000 28159.300000 818.225000 0.500850   1
35270.100000 28159.300000 828.225000 0.498300   5
35270.100000 28159.300000 838.225000 0.613700   4
35270.100000 28159.300000 858.225000 0.652200   3
35270.100000 28159.300000 868.225000 0.581700   1
35270.100000 28159.300000 878.225000 0.709500   5
35270.100000 28159.300000 888.225000 0.661650   3
35270.100000 28159.300000 898.225000 0.977680   4
35270.100000 28159.300000 918.225000 0.785250   1
35270.100000 28159.300000 928.225000 0.511050   3
35270.100000 28159.300000 938.225000 0.608200   5
35270.100000 28159.300000 958.225000 0.509000   1
35270.100000 28159.300000 968.225000 0.667800   4
35270.100000 28159.300000 978.225000 0.462750   5
35270.100000 28159.300000 988.225000 0.552650   3
35270.100000 28159.300000 998.225000 0.416750   1
35270.100000 28159.300000 1018.225000 0.501680   4
35387.600000 28135.100000 694.025000 0.308750   5
35387.600000 28135.100000 704.025000 0.356400   4
35387.600000 28135.100000 714.025000 0.346550   3
35387.600000 28135.100000 734.025000 0.250700   4
35387.600000 28135.100000 744.025000 0.348900   1
35387.600000 28135.100000 754.025000 0.325270   3
35387.600000 28135.100000 774.025000 0.086150   5
35387.600000 28135.100000 784.025000 0.152500   1
35387.600000 28135.100000 794.025000 0.171250   3
35387.600000 28135.100000 814.025000 0.469400   4
35387.600000 28135.100000 824.025000 0.434650   5
35387.600000 28135.100000 834.025000 0.130830   1
35387.600000 28135.100000 844.025000 0.133850   3
35387.600000 28135.100000 854.025000 0.573850   4
35387.600000 28135.100000 864.025000 0.562600   1
35387.600000 28135.100000 884.025000 1.274850   5
35387.600000 28135.100000 894.025000 0.720900   1
35387.600000 28135.100000 904.025000 0.469200   3
35387.600000 28135.100000 924.025000 0.771550   5
35387.600000 28135.100000 934.025000 0.785050   4
35387.600000 28135.100000 944.025000 0.755150   1
35387.600000 28135.100000 954.025000 0.608650   3
35387.600000 28135.100000 974.025000 0.387120   5
35387.600000 28135.100000 984.025000 0.747700   1
35387.600000 28135.100000 994.025000 1.060300   4
35387.600000 28135.100000 1004.025000 0.859700   3
35387.600000 28135.100000 1024.025000 0.716150   1
35387.600000 28135.100000 1034.025000 0.793040   5
35513.500000 28138.000000 675.412500 0.288560   5
35513.500000 28138.000000 685.412500 0.379310   4
35513.500000 28138.000000 705.412500 0.673130   1
35513.500000 28138.000000 715.412500 0.482590   3
35513.500000 28138.000000 725.412500 0.397650   5
35513.500000 28138.000000 735.412500 0.243720   1
35513.500000 28138.000000 745.412500 0.171700   4
35513.500000 28138.000000 765.412500 0.592970   3
35513.500000 28138.000000 775.412500 0.633290   5
35513.500000 28138.000000 785.412500 1.285540   1
35513.500000 28138.000000 795.412500 1.942650   3
35513.500000 28138.000000 805.412500 0.774180   4
35513.500000 28138.000000 815.412500 0.563660   1
35513.500000 28138.000000 835.412500 0.744800   5
35513.500000 28138.000000 845.412500 0.464770   4
35513.500000 28138.000000 855.412500 0.546490   3
35513.500000 28138.000000 875.412500 0.543500   5
35513.500000 28138.000000 885.412500 0.392060   1
35513.500000 28138.000000 895.412500 0.399610   4
35513.500000 28138.000000 905.412500 0.441240   3
35513.500000 28138.000000 925.412500 0.553370   5
35513.500000 28138.000000 945.412500 0.530770   4
35513.500000 28138.000000 955.412500 0.570040   1
35513.500000 28138.000000 965.412500 0.527590   3
35513.500000 28138.000000 975.412500 0.691520   1
35513.500000 28138.000000 985.412500 0.419420   5
35513.500000 28138.000000 995.412500 0.616490   4
35513.500000 28138.000000 1015.412000 0.611850   3
35513.500000 28138.000000 1035.412000 0.520280   4
35513.500000 28138.000000 1045.412000 0.452640   5
35513.500000 28138.000000 1055.412000 0.488800   3
